Portal,Keyword,Site Link,S.No,e-Published Date,Closing Date,Opening Date,Title,Tender Ref No,Tender ID,Organisation Chain,Organisation Chain (Detail),Tender Reference Number,Withdrawal Allowed,Tender Type,Form Of Contract,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Category,No. of Covers,Tender Fee (INR),Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount (INR),EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title (Detail),Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value (INR),Effective Tender Value (INR),Value Source,Value Status,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Folder Path,NIT PDF Path,ZIP File Path,ZIP Extracted Folder Path,Downloaded Files
https://wbtenders.gov.in,CONDUCTOR,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUmQQpsE4ojDdhPH0uad7GQ%3D%3D,Corrigendum Title,05-03-2026 11:00,08-04-2026 15:00,15-04-2026 15:00,"Procurement of ACSR DOG conductor for 33 KV overhead lines under EMOPH, STPS, WBPDCL",WBPDCL/STPS/NIT/E4332/25-26,2026_WBPDC_1015922_1,THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||SANTALDIH THERMAL POWER STATION (STPS),THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||SANTALDIH THERMAL POWER STATION (STPS),WBPDCL/STPS/NIT/E4332/25-26,Yes,Open Tender,Item Wise,No,Yes,Online,No,No,No,Goods,2,No,Nil,Nil,,"31,000",,fixed,,Nil,Nil,"Procurement of ACSR DOG conductor for 33 KV overhead lines under EMOPH, STPS, WBPDCL","Procurement of ACSR DOG conductor for 33 KV overhead lines under EMOPH, STPS, WBPDCL",Please refer Tender documents.,,,3100000,EMD x 100,derived_from_emd,Miscellaneous Goods,,Tender,120,90,"Admin Building,S.T.P.S,Santaldih,Purulia",723146,,,,"Admin Building,S.T.P.S,Santaldih,Purulia",No,No,05-03-2026 11:00,15-04-2026 15:00,05-03-2026 11:00,08-04-2026 15:00,,,05-03-2026 11:00,08-04-2026 15:00,GM STPS,"Admin Building,S.T.P.S,Santaldih,Purulia",C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBPDC_1015922_1,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBPDC_1015922_1\2026_WBPDC_1015922_1-NIT.pdf,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBPDC_1015922_1\2026_WBPDC_1015922_1-ZIP.zip,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBPDC_1015922_1\2026_WBPDC_1015922_1-ZIP,"2026_WBPDC_1015922_1-NIT.pdf, 2026_WBPDC_1015922_1-ZIP, 2026_WBPDC_1015922_1-ZIP.zip"
https://wbtenders.gov.in,CABLE,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGkZvcWNFvu7z6nQ4h369Zw%3D%3D,Corrigendum Title,26-02-2026 09:00,07-04-2026 09:00,09-04-2026 09:00,"Procurement of 33/33 kV, UE, 3C x 185sqmm, XLPE Cable under EMOPH dept. at BkTPS",WBPDCL/BkTPS/OT/E4059/25-26,2026_WBPDC_1007573_1,THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||BAKRESWAR THERMAL POWER PROJECT (BkTPP),THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||BAKRESWAR THERMAL POWER PROJECT (BkTPP),WBPDCL/BkTPS/OT/E4059/25-26,Yes,Open Tender,Item Rate,No,No,Online,No,No,No,Goods,2,No,Nil,Nil,,"45,330",,fixed,,Nil,Nil,"Procurement of 33/33 kV, UE, 3C x 185sqmm, XLPE Cable under EMOPH dept. at BkTPS","Procurement of 33/33 kV, UE, 3C x 185sqmm, XLPE Cable under EMOPH dept. at BkTPS",Please refer Tender documents.,,,4533000,EMD x 100,derived_from_emd,Miscellaneous Goods,,Tender,180,120,Bakreswar Thermal Power Station,731104,Administrative Building,"Bakreswar Thermal Power Station P.O. - BkTPP, District - Birbhum Pin 731104, West Bengal, India",05-03-2026 16:00,Administrative Building,No,No,26-02-2026 09:00,09-04-2026 09:00,26-02-2026 10:00,07-04-2026 09:00,,,07-03-2026 16:00,07-04-2026 09:00,"General Manager, BkTPS.","Bakreswar Thermal Power Station P.O. - BkTPP, District - Birbhum Pin 731104, West Bengal, India",C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBPDC_1007573_1,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBPDC_1007573_1\2026_WBPDC_1007573_1-NIT.pdf,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBPDC_1007573_1\2026_WBPDC_1007573_1-ZIP.zip,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBPDC_1007573_1\2026_WBPDC_1007573_1-ZIP,"2026_WBPDC_1007573_1-NIT.pdf, 2026_WBPDC_1007573_1-ZIP, 2026_WBPDC_1007573_1-ZIP.zip"
https://wbtenders.gov.in,LTAB,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SV2SES8C5fXcyRkGLahF0Vg%3D%3D,Document Type,02-03-2026 14:00,01-04-2026 15:00,06-04-2026 15:30,P-68/2025-26/PC-III/LTABC,P-68/2025-26/PC-III/LTABC,2026_WBSED_1015452_1,WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||PROCUREMENT AND CONTRACTS,WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||PROCUREMENT AND CONTRACTS,P-68/2025-26/PC-III/LTABC,Yes,Open Tender,Tender cum Auction,No,Yes,Online,No,No,No,Goods,2,No,Nil,Nil,,"13,18,400",,fixed,,Nil,Nil,P-68/2025-26/PC-III/LTABC,1.1KV LT AB cable 3CX70 1CX16 1CX50 sq.mm.,Please refer Tender documents.,,"1,31,84,00,000",1318400000,Tender Value,direct,SUPPLY OF ELECTRICAL GOODS/EQUIPMENTS,,Tender,120,195,"Vidyut Bhavan(4th flr),BlockD,Sec-II,Bidhannagar",700091,"Vidyut Bhavan(4th floor), Block D,Sector-II,Bidhan","Vidyut Bhavan(4th floor), Block D,Sector-II,Bidhan",09-03-2026 12:00,"Vidyut Bhavan(4th flr),BlockD,Sec-II,Bidhannagar",No,No,02-03-2026 14:00,06-04-2026 15:30,02-03-2026 14:00,01-04-2026 15:00,,,10-03-2026 14:00,01-04-2026 15:00,CE_PC,"Vidyut Bhavan(4th floor), Block D,Sector-II,Bidhan",C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1015452_1,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1015452_1\2026_WBSED_1015452_1-NIT.pdf,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1015452_1\2026_WBSED_1015452_1-ZIP.zip,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1015452_1\2026_WBSED_1015452_1-ZIP,"2026_WBSED_1015452_1-NIT.pdf, 2026_WBSED_1015452_1-ZIP, 2026_WBSED_1015452_1-ZIP.zip"
https://wbtenders.gov.in,LT ABC,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMxfwLYXcnz3OrtMRiKiq%2FQ%3D%3D,Document Type,16-03-2026 18:00,30-03-2026 18:00,02-04-2026 11:00,"Supply and Delivery of (i) 2500 NOS of LT ABC Suspension Clamp with Bracket (ii) 1000 NOS of LT ABC Dead End Clamp (iii) 3000 NOS of LT ABC Insulation Piercing Connector and (iv) 3500 NOS of EYE HOOK for Suspension and Anchoring Clamp, to Malda Divis",MLDD/e-Tender/ELEC/25-26/06,2026_WBSED_1022103_1,WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||MALDA ZONE||MALDA REGIONAL OFFICE||MALDA DIVISION,WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||MALDA ZONE||MALDA REGIONAL OFFICE||MALDA DIVISION,MLDD/e-Tender/ELEC/25-26/06,Yes,Open Tender,Item Rate,No,No,Online,No,No,No,Goods,2,No,Nil,Nil,,"38,600",,fixed,,Nil,Nil,"Supply and Delivery of (i) 2500 NOS of LT ABC Suspension Clamp with Bracket (ii) 1000 NOS of LT ABC Dead End Clamp (iii) 3000 NOS of LT ABC Insulation Piercing Connector and (iv) 3500 NOS of EYE HOOK for Suspension and Anchoring Clamp, to Malda Divis","Supply and Delivery of (i) 2500 NOS of LT ABC Suspension Clamp with Bracket (ii) 1000 NOS of LT ABC Dead End Clamp (iii) 3000 NOS of LT ABC Insulation Piercing Connector and (iv) 3500 NOS of EYE HOOK for Suspension and Anchoring Clamp, to Malda Divis",Please refer Tender documents.,,"19,30,000",1930000,Tender Value,direct,SUPPLY OF ELECTRICAL GOODS/EQUIPMENTS,,Tender,180,15,"Malda Divisional Stores, Malda, WBSEDCL",732101,,,,"Malda Division Office, WBSEDCL",No,No,16-03-2026 18:00,02-04-2026 11:00,16-03-2026 18:00,30-03-2026 18:00,,,16-03-2026 18:00,30-03-2026 18:00,"Divisional Manager, Malda Division, WBSEDCL","Ground Floor, WBSEDCL Administrative Building, Rabindra Avenue, English Bazar, Malda PIN 732101",C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1022103_1,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1022103_1\2026_WBSED_1022103_1-NIT.pdf,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1022103_1\2026_WBSED_1022103_1-ZIP.zip,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1022103_1\2026_WBSED_1022103_1-ZIP,"2026_WBSED_1022103_1-NIT.pdf, 2026_WBSED_1022103_1-ZIP, 2026_WBSED_1022103_1-ZIP.zip"
https://wbtenders.gov.in,WOLF,https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXEt9ADzlKouXbHc1qwKO6A%3D%3D,Document Type,02-03-2026 11:30,30-03-2026 15:30,02-04-2026 16:00,P-66/2025-26/PC-I/Wolf CHF,P-66/2025-26/PC-I/Wolf CHF,2026_WBSED_1015629_1,WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||PROCUREMENT AND CONTRACTS,WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||PROCUREMENT AND CONTRACTS,P-66/2025-26/PC-I/Wolf CHF,Yes,Open Tender,Item Wise,No,Yes,Online,No,No,No,Goods,2,No,Nil,Nil,,"30,100",,fixed,,Nil,Nil,P-66/2025-26/PC-I/Wolf CHF,Single Tension Hardware Fittings with Compression type dead end clamp for ACSR Wolf Conductor 150 Sq. mm,Please refer Tender documents.,,"3,01,00,000",30100000,Tender Value,direct,SUPPLY OF ELECTRICAL GOODS/EQUIPMENTS,,Tender,120,180,"Vidyut Bhavan(4th flr),BlockD,Sec-II,Bidhannagar",700091,"Vidyut Bhavan(4th floor), Block D,Sector-II,Bidhan","Vidyut Bhavan(4th floor), Block D,Sector-II,Bidhan",09-03-2026 12:00,"Vidyut Bhavan(4th flr),BlockD,Sec-II,Bidhannagar",No,No,02-03-2026 11:30,02-04-2026 16:00,02-03-2026 11:30,30-03-2026 15:30,,,09-03-2026 15:30,30-03-2026 15:30,CE_PC,"Vidyut Bhavan(4th flr),BlockD,Sec-II,Bidhannagar",C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1015629_1,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1015629_1\2026_WBSED_1015629_1-NIT.pdf,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1015629_1\2026_WBSED_1015629_1-ZIP.zip,C:\Users\Laser Power\Documents\New project\etenders_discovery_fresh\data\downloads\2026_WBSED_1015629_1\2026_WBSED_1015629_1-ZIP,"2026_WBSED_1015629_1-NIT.pdf, 2026_WBSED_1015629_1-ZIP, 2026_WBSED_1015629_1-ZIP.zip"
https://jharkhandtenders.gov.in/nicgep/app,CABLE,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBNY0w4khpfFnV9qvxyLBww%3D%3D,Document Type,16-04-2026 17:00,09-05-2026 17:00,11-05-2026 12:30,Procurement of HT Power cables at SRHP Sikidiri,55/PR/JUUNL/2025-26,2026_JSEB_110231_3,"JSEB||JUUNL||GENERAL MANAGER (TECHNICAL).||PROJECT MANAGER, SRHP, SIKIDIRI.","JSEB||JUUNL||GENERAL MANAGER (TECHNICAL).||PROJECT MANAGER, SRHP, SIKIDIRI.",55/PR/JUUNL/2025-26,No,Open Tender,Buy,No,No,Online,No,No,No,Goods,2,Yes,Nil,Nil,,"70,100",,fixed,,Nil,Nil,Procurement of HT Power cables at SRHP Sikidiri,Procurement of HT Power cables at SRHP Sikidiri,Please refer Tender documents.,,,7010000,EMD x 100,derived_from_emd,Electrical Work/ Equipment,,Tender,180,,SRHP Sikidiri,835219,,,,Office of the Project Manager,No,No,16-04-2026 17:00,11-05-2026 12:30,16-04-2026 17:05,09-05-2026 17:00,,,16-04-2026 17:05,09-05-2026 17:00,Project Manager,Office of the Project Manager SRHP Sikidiri,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_110231_3,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_110231_3\2026_JSEB_110231_3-NIT.pdf,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_110231_3\2026_JSEB_110231_3-ZIP.zip,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_110231_3\2026_JSEB_110231_3-ZIP,"2026_JSEB_110231_3-NIT.pdf, 2026_JSEB_110231_3-ZIP, 2026_JSEB_110231_3-ZIP.zip"
https://jharkhandtenders.gov.in/nicgep/app,BCD EinC,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S3sA0gPRU65DiPNBTqpwW%2Fg%3D%3D,Document Type,18-04-2026 16:30,25-04-2026 15:00,27-04-2026 15:30,"e-Quotation for Contruction of Weigh Bridge and Operator Room with 1000 MT and 1500MT Godown at Palojori and Mohanpur, at Deoghar",01/EE/BCD/ Deoghar/2026-27,2026_BCD_113116_1,"BCD EinC||BCD CE||BCD SE DUMKA||BCD EE, DEOGHAR.","BCD EinC||BCD CE||BCD SE DUMKA||BCD EE, DEOGHAR.",01/EE/BCD/ Deoghar/2026-27,No,Open Tender,Empanelment,No,No,Not Applicable,No,No,No,Goods,1,No,Nil,Nil,,0,,fixed,,Nil,Nil,"e-Quotation for Contruction of Weigh Bridge and Operator Room with 1000 MT and 1500MT Godown at Palojori and Mohanpur, at Deoghar","e-Quotation for Contruction of Weigh Bridge and Operator Room with 1000 MT and 1500MT Godown at Palojori and Mohanpur, at Deoghar",Please refer Tender documents.,,0,,Unknown,doubt_bad,Civil Construction Goods,,Empanelment,7,7,Deoghar,814112,,,,"e-procurement cell, E.E, BCD, Deoghar",No,No,18-04-2026 16:30,27-04-2026 15:30,18-04-2026 16:30,25-04-2026 15:00,,,18-04-2026 16:30,25-04-2026 15:00,Nodal Officer,"e-Procurement Cell, Office of The Executive Engineer, Building Construction Department, Building Division, Deoghar",C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_BCD_113116_1,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_BCD_113116_1\2026_BCD_113116_1-NIT.pdf,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_BCD_113116_1\2026_BCD_113116_1-ZIP.zip,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_BCD_113116_1\2026_BCD_113116_1-ZIP,"2026_BCD_113116_1-NIT.pdf, 2026_BCD_113116_1-ZIP, 2026_BCD_113116_1-ZIP.zip"
https://jharkhandtenders.gov.in/nicgep/app,JSEB,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SdRUeJiAADVZTs%2Fsx2smraQ%3D%3D,Document Type,20-04-2026 17:10,07-05-2026 18:00,08-05-2026 18:05,13/PR/JBVNL/2026-27,13/PR/JBVNL/2026-27,2026_JSEB_113170_1,"JSEB||JBVNL||GM (COMMERCIAL), JBVNL.","JSEB||JBVNL||GM (COMMERCIAL), JBVNL.",13/PR/JBVNL/2026-27,No,Open Tender,Item Rate,No,No,Online,No,No,No,Goods,2,Yes,Nil,Nil,,"1,16,000",,fixed,,Nil,Nil,13/PR/JBVNL/2026-27,11 KV 3 Pin Type AB Switch 400 Amp,Please refer Tender documents.,,,11600000,EMD x 100,derived_from_emd,Electrical Work/ Equipment,,Tender,180,,Jharkhand,834004,,,,Online at JBVNL,No,No,20-04-2026 17:10,08-05-2026 18:05,20-04-2026 17:15,07-05-2026 18:00,,,20-04-2026 17:15,07-05-2026 18:00,General Manager Store and Purchase,Jharkhand Bijli Vitran Nigam Ltd.,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113170_1,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113170_1\2026_JSEB_113170_1-NIT.pdf,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113170_1\2026_JSEB_113170_1-ZIP.zip,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113170_1\2026_JSEB_113170_1-ZIP,"2026_JSEB_113170_1-NIT.pdf, 2026_JSEB_113170_1-ZIP, 2026_JSEB_113170_1-ZIP.zip"
https://jharkhandtenders.gov.in/nicgep/app,JSEB,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SfcoRRVDJKkrK7w%2BSCXtA6Q%3D%3D,Document Type,20-04-2026 17:00,07-05-2026 18:00,08-05-2026 18:05,12/PR/JBVNL/2026-27,12/PR/JBVNL/2026-27,2026_JSEB_113169_1,"JSEB||JBVNL||GM (COMMERCIAL), JBVNL.","JSEB||JBVNL||GM (COMMERCIAL), JBVNL.",12/PR/JBVNL/2026-27,No,Open Tender,Item Rate,No,No,Online,No,No,No,Goods,2,Yes,Nil,Nil,,"1,70,000",,fixed,,Nil,Nil,12/PR/JBVNL/2026-27,33 KV 3 Pin Type AB Switch 630 Amp,Please refer Tender documents.,,,17000000,EMD x 100,derived_from_emd,Electrical Work/ Equipment,,Tender,180,,Jharkhand,834004,,,,Online at JBVNL,No,No,20-04-2026 17:00,08-05-2026 18:05,20-04-2026 17:00,07-05-2026 18:00,,,20-04-2026 17:00,07-05-2026 18:00,General Manager Store and Purchase,Jharkhand Bijli Vitran Nigam Ltd.,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113169_1,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113169_1\2026_JSEB_113169_1-NIT.pdf,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113169_1\2026_JSEB_113169_1-ZIP.zip,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113169_1\2026_JSEB_113169_1-ZIP,"2026_JSEB_113169_1-NIT.pdf, 2026_JSEB_113169_1-ZIP, 2026_JSEB_113169_1-ZIP.zip"
https://jharkhandtenders.gov.in/nicgep/app,JSEB,https://jharkhandtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SQgPzz8NB5LMgWUQM%2BOdcDQ%3D%3D,Corrigendum Title,17-04-2026 17:30,05-05-2026 18:00,06-05-2026 18:05,18/PR/JBVNL/2026-27,18/PR/JBVNL/2026-27,2026_JSEB_113070_1,"JSEB||JBVNL||GM (COMMERCIAL), JBVNL.","JSEB||JBVNL||GM (COMMERCIAL), JBVNL.",18/PR/JBVNL/2026-27,No,Open Tender,Item Rate,No,No,Online,No,No,No,Goods,2,Yes,Nil,Nil,,"25,10,000",,fixed,,Nil,Nil,18/PR/JBVNL/2026-27,ISI marked ACSR Rabbit Conductor,Please refer Tender documents.,,,251000000,EMD x 100,derived_from_emd,Electrical Work/ Equipment,,Tender,180,,Jharkhand,834004,,,,Online at JBVNL,No,No,17-04-2026 17:30,06-05-2026 18:05,17-04-2026 17:35,05-05-2026 18:00,,,17-04-2026 17:35,05-05-2026 18:00,General Manager Store and Purchase,Jharkhand Bijli Vitran Nigam Ltd.,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113070_1,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113070_1\2026_JSEB_113070_1-NIT.pdf,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113070_1\2026_JSEB_113070_1-ZIP.zip,C:\Users\SERVER\Documents\NEW PROJECT\etenders_discovery_fresh\data\downloads\2026_JSEB_113070_1\2026_JSEB_113070_1-ZIP,"2026_JSEB_113070_1-NIT.pdf, 2026_JSEB_113070_1-ZIP, 2026_JSEB_113070_1-ZIP.zip"
