"Portal","Keyword","StatusCategory","SNo","TenderID","TitleAndRefNo","OrganisationChain","TenderStage","CleanTitle","RefNo","DownloadedPDFs"
"https://wbtenders.gov.in","CABLE","AOC","1","2026_WRDD_999653_6","[Supply of 3 core(2.5 sq mm , 4.0 sq mm) PVC insulated water proof flat cableunder A.E.(A-I) Krishnagar-I ( A-I ) Sub-Division under Krishnagar-II(A-I)Division.][WBWRDD/Krishnagar-II(A-I) Divn/e- NIQ17/2025-26]","WATER RESOURCES DEV. DTE.||KRISHNANAGAR (AI) CIRCLE||KRISHNAGAR -II (AI) DVN","AOC","Supply of 3 core(2.5 sq mm , 4.0 sq mm) PVC insulated water proof flat cableunder A.E.(A-I) Krishnagar-I ( A-I ) Sub-Division under Krishnagar-II(A-I)Division.","WBWRDD/Krishnagar-II(A-I) Divn/e- NIQ17/2025-26","downloads\wbtenders.gov.in\2026_WRDD_999653_6\stage_summary_2026_WRDD_999653_6.pdf"
"https://jharkhandtenders.gov.in","CABLE","AOC","1","2026_ENRGY_111554_7","[Round the clock comprehensive annual maintenance of all E.I including fans, campus light, garden light, U/G cable, Panel, Generator 7 nos 35 KVA in Hon,ble Jharkhand High Corut, Judge Bungalow no. 1, 2, 3, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19 nea][Energy/EWD/Ranchi/103/2025-26]","Energy CEE","AOC","Round the clock comprehensive annual maintenance of all E.I including fans, campus light, garden light, U/G cable, Panel, Generator 7 nos 35 KVA in Hon,ble Jharkhand High Corut, Judge Bungalow no. 1, 2, 3, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19 nea","Energy/EWD/Ranchi/103/2025-26","downloads\jharkhandtenders.gov.in\2026_ENRGY_111554_7\stage_summary_2026_ENRGY_111554_7.pdf"
"https://jharkhandtenders.gov.in","CABLE","AOC","2","2026_ENRGY_111554_4","[Round the clock manning operation and comprehensive annual maintenance of all E.i in the Campus including, Garden light, LED Street light, U/G cable, panel of Old building of Jharkhand High Court ( Heritage building) at Doranda, Ranchi.][Energy/EWD/Ranchi/103/2025-26]","Energy CEE","AOC","Round the clock manning operation and comprehensive annual maintenance of all E.i in the Campus including, Garden light, LED Street light, U/G cable, panel of Old building of Jharkhand High Court ( Heritage building) at Doranda, Ranchi.","Energy/EWD/Ranchi/103/2025-26","downloads\jharkhandtenders.gov.in\2026_ENRGY_111554_4\stage_summary_2026_ENRGY_111554_4.pdf"
"https://jharkhandtenders.gov.in","CABLE","AOC","3","2026_ENRGY_111175_5","[S.I.T.C of 58.5 (3PH) KVA silent type CPCB IV compliant DG set with AMF panel and cable in Chief Justice Residence Kanke road, Ranchi.][Energy/EWD/Ranchi/105/2025-26]","Energy CEE","AOC","S.I.T.C of 58.5 (3PH) KVA silent type CPCB IV compliant DG set with AMF panel and cable in Chief Justice Residence Kanke road, Ranchi.","Energy/EWD/Ranchi/105/2025-26","downloads\jharkhandtenders.gov.in\2026_ENRGY_111175_5\stage_summary_2026_ENRGY_111175_5.pdf"
"https://jharkhandtenders.gov.in","CABLE","AOC","4","2026_ENRGY_111164_4","[Provision of armoured electric cable for advocate block-1 to Separate line connection from court building in the Premised of Jharkhand High Court at Dhurwa, Ranchi.][Energy/EWD/Ranchi/106/2025-26]","Energy CEE","AOC","Provision of armoured electric cable for advocate block-1 to Separate line connection from court building in the Premised of Jharkhand High Court at Dhurwa, Ranchi.","Energy/EWD/Ranchi/106/2025-26","downloads\jharkhandtenders.gov.in\2026_ENRGY_111164_4\stage_summary_2026_ENRGY_111164_4.pdf"
"https://jharkhandtenders.gov.in","CABLE","AOC","5","2026_ENRGY_111164_2","[S.I.T.C of 01 no 250 KVA Silent type DG (CPCB IV complint) set with AMF Panel, Plinth, Shed, Armoured cable and Changover cubical Panel at Nepal House, Doranda, Ranchi.][Energy/EWD/Ranchi/106/2025-26]","Energy CEE","AOC","S.I.T.C of 01 no 250 KVA Silent type DG (CPCB IV complint) set with AMF Panel, Plinth, Shed, Armoured cable and Changover cubical Panel at Nepal House, Doranda, Ranchi.","Energy/EWD/Ranchi/106/2025-26","downloads\jharkhandtenders.gov.in\2026_ENRGY_111164_2\stage_summary_2026_ENRGY_111164_2.pdf"
"https://jharkhandtenders.gov.in","CABLE","AOC","6","2026_ENRGY_110837_1","[Provision of Garden light, LED Flood light and Service cable for different Places in the campus of D.C Residence at Simdega.][Energy/EWD/Ranchi/100/2025-26]","Energy CEE","AOC","Provision of Garden light, LED Flood light and Service cable for different Places in the campus of D.C Residence at Simdega.","Energy/EWD/Ranchi/100/2025-26","downloads\jharkhandtenders.gov.in\2026_ENRGY_110837_1\stage_summary_2026_ENRGY_110837_1.pdf"
"https://jharkhandtenders.gov.in","CABLE","AOC","7","2026_ENRGY_109072_1","[Round the clock comprehensive annual maintenance of all E.I. work U.G Cable, Fans, light fitting, Street light, Garden light, Decorative path light, Panel, UPS and AMC of 125 KVA DG set at Lok Bhawan, Dumka.][Energy/EWD/Dumka/24/2025-26]","Energy CEE","AOC","Round the clock comprehensive annual maintenance of all E.I. work U.G Cable, Fans, light fitting, Street light, Garden light, Decorative path light, Panel, UPS and AMC of 125 KVA DG set at Lok Bhawan, Dumka.","Energy/EWD/Dumka/24/2025-26","downloads\jharkhandtenders.gov.in\2026_ENRGY_109072_1\stage_summary_2026_ENRGY_109072_1.pdf"
"https://jharkhandtenders.gov.in","CABLE","AOC","8","2026_ENRGY_108763_1","[Operation and AMC of all E.I including Fans, Metal halide, U/G cable, Panel, Generator (1 no 35 KVA, 1 no 125 KVA DG, 1 no 200 KVA and 1 no 250KVA) and 2 no Lift (G3) etc in Chief Secretariat, Nepal House and Raja Rani Kothi, Doranda, Ranchi.][Energy/EWD/Ranchi/90/2025-26]","Energy CEE","AOC","Operation and AMC of all E.I including Fans, Metal halide, U/G cable, Panel, Generator (1 no 35 KVA, 1 no 125 KVA DG, 1 no 200 KVA and 1 no 250KVA) and 2 no Lift (G3) etc in Chief Secretariat, Nepal House and Raja Rani Kothi, Doranda, Ranchi.","Energy/EWD/Ranchi/90/2025-26","downloads\jharkhandtenders.gov.in\2026_ENRGY_108763_1\stage_summary_2026_ENRGY_108763_1.pdf"
"https://jharkhandtenders.gov.in","CABLE","AOC","9","2025_UDD_107745_36","[Installation 02 Nos Deep Boring in Old Cable Town Under JNAC Jamshedpur in East Singhbhum Dist][Jnac/Epro-24/2025-26]","UDD Secretary||UDD Chairperson eProc Cell","AOC","Installation 02 Nos Deep Boring in Old Cable Town Under JNAC Jamshedpur in East Singhbhum Dist","Jnac/Epro-24/2025-26","downloads\jharkhandtenders.gov.in\2025_UDD_107745_36\stage_summary_2025_UDD_107745_36.pdf"
